id_j;edad;altura;pie_habil;nacionalidad;nombre;valor_mercado_en_miles;id_club;posicion
1117;22;1,89;izquierdo;Colombia;Jader Valencia;300;104;Delantero centro
1118;23;1,8;derecho;Colombia;Diego Abadia;275;104;Delantero centro
1119;18;1,88;derecho;Colombia;Juan Esteban Carvajal;150;104;Delantero centro
1120;25;1,82;derecho;Venezuela;Joel Graterol;280;105;Portero
1121;32;1,86;derecho;Colombia;Diego Novoa;950;105;Portero
1122;24;1,87;derecho;Colombia;David Quintero;800;105;Portero
1123;26;1,8;derecho;Colombia;Marlon Torres;800;105;Defenza central
1124;32;1,86;derecho;Colombia;John García;800;105;Defenza central
1125;25;1,95;izquierdo;Colombia;Jorge Segura;150;105;Defenza central
1126;20;1,8;derecho;Colombia;Brayan Medina;990;105;Defenza central
1127;19;1,83;derecho;Colombia;Edson Acevedo;600;105;Defenza central
1128;31;1,83;izquierdo;Colombia;Elvis Mosquera;150;105;Lateral izquierdo
1129;23;1,8;izquierdo;Colombia;Brayan Vera;280;105;Lateral izquierdo
1130;22;1,73;derecho;Colombia;Yaliston Martínez;950;105;Lateral izquierdo
1131;26;1,71;derecho;Colombia;Cristian Arrieta;800;105;Lateral derecho
1132;23;1,71;derecho;Colombia;Daniel Quiñones;800;105;Lateral derecho
1133;20;1,79;derecho;Colombia;Eber Moreno;800;105;Lateral derecho
1134;19;1,68;derecho;Colombia;Juan Sebastián Osorio;150;105;Medio campo
1135;33;1,75;derecho;Colombia;Luis Alejandro Paz;990;105;Pivote
1136;26;1,73;derecho;Colombia;Didier Pino;600;105;Pivote
1137;31;1,83;izquierdo;Colombia;Carlos Sierra;700;105;Mediocentro
1138;23;1,83;derecho;Colombia;Juan Camilo Portilla;600;105;Mediocentro
1139;26;1,85;derecho;Colombia;Larry Angulo;100;105;Mediocentro
1140;21;1,81;derecho;Colombia;Gustavo Carvajal;200;105;Mediocentro
1141;28;1,86;izquierdo;Colombia;Mauricio Gómez;900;105;Interior izquierdo
1142;21;1,73;derecho;Colombia;Luis Sánchez;250;105;Mediocentro ofensivo
1143;31;1,76;izquierdo;Colombia;Daniel Hernández;300;105;Mediocentro ofensivo
1144;21;1,75;derecho;Colombia;Cristian Gamboa;275;105;Mediocentro ofensivo
1145;19;1,83;derecho;Colombia;Sergio Mosquera;150;105;Mediocentro ofensivo
1146;19;1,73;derecho;Colombia;Joider Micolta;280;105;Extremo izquierdo
1147;26;1,73;izquierdo;Colombia;Déinner Quiñones;950;105;Extremo derecho
1148;32;1,74;izquierdo;Spain;Iago Falque;800;105;Extremo derecho
1149;24;1,78;derecho;Colombia;Esneyder Mena;800;105;Extremo derecho
1150;27;1,75;izquierdo;Colombia;David Lemos;800;105;Delantero centro
1151;36;1,85;derecho;Colombia;Adrián Ramos;150;105;Delantero centro
1152;30;1,9;derecho;Argentina;Alejandro Quintana;990;105;Delantero centro
1153;22;1,8;derecho;Colombia;Daniel Mosquera;600;105;Delantero centro
1154;18;1,73;derecho;Colombia;Javier Mateo Ortíz;150;105;Delantero centro
1155;30;1,86;derecho;Colombia;Andrés Mosquera;280;106;Portero
1156;26;1,87;derecho;Colombia;Luis Vásquez;950;106;Portero
1157;22;1,85;derecho;Colombia;Weimar Asprilla;800;106;Portero
1158;27;1,84;derecho;Colombia;Víctor Moreno;800;106;Defenza central
1159;36;1,88;izquierdo;Colombia;Andrés Cadavid;800;106;Defenza central
1160;21;1,9;derecho;Colombia;Didier Bueno;150;106;Defenza central
1161;32;1,7;izquierdo;Colombia;Germán Gutiérrez;990;106;Lateral izquierdo
1162;24;1,7;izquierdo;Colombia;Yulián Gómez;600;106;Lateral izquierdo
1163;32;1,78;derecho;Colombia;Juan Guillermo Arboleda;700;106;Lateral derecho
1164;19;1,8;derecho;Colombia;Juan David Mosquera;600;106;Lateral derecho
1165;28;1,77;izquierdo;Colombia;David Loaiza;100;106;Pivote
1166;29;1,76;derecho;Argentina;Adrián Arregui;200;106;Pivote
1167;27;1,84;derecho;Uruguay;Javier Méndez;900;106;Pivote
1168;24;1,78;derecho;Colombia;Yesid Díaz;250;106;Pivote
1169;24;1,8;derecho;Colombia;Jaen Pineda;200;106;Mediocentro
1170;20;1,83;derecho;Colombia;Juan Carlos Díaz;120;106;Mediocentro
1171;30;1,82;izquierdo;Colombia;Andrés Ricaurte;400;106;Mediocentro ofensivo
1172;20;1,72;derecho;Colombia;Juan Manuel Cuesta;652;106;Mediocentro ofensivo
1173;35;1,77;derecho;Colombia;Sebastián Hernández;822;106;Mediocentro ofensivo
1174;28;1,77;derecho;Panama;Miguel Camargo;480;106;Mediocentro ofensivo
1175;18;1,78;derecho;Colombia;Miguel Monsalve;300;106;Mediocentro ofensivo
1176;23;1,73;derecho;Colombia;Bryan Castrillón;275;106;Extremo izquierdo
1177;33;1,6;derecho;Colombia;Vladimir Hernández;150;106;Extremo izquierdo
1178;25;1,75;izquierdo;Colombia;Ever Valencia;280;106;Extremo izquierdo
1179;31;1,78;derecho;Colombia;Felipe Pardo;950;106;Extremo derecho
1180;25;1,79;derecho;Venezuela  ;José Hernández Chávez;800;106;Extremo derecho
1181;27;1,79;derecho;Colombia;Edwar López;800;106;Extremo derecho
1182;26;1,88;derecho;Colombia;Diber Cambindo;800;106;Delantero centro
1183;23;1,77;derecho;Colombia;Steven Rodríguez;150;106;Delantero centro
1184;32;1,8;derecho;Argentina;Luciano Pons;990;106;Delantero centro
1185;27;1,88;derecho;Uruguay  ;Guillermo de Amores;600;107;Portero
1186;24;1,85;derecho;Colombia;Humberto Acevedo;150;107;Portero
1187;20;1,93;derecho;Colombia;Daniel Lasso;280;107;Portero
1188;33;1,89;derecho;Argentina  ;Guillermo Burdisso;950;107;Defenza central
1189;23;1,82;izquierdo;Colombia;Jorge Marsiglia;800;107;Defenza central
1190;24;1,86;derecho;Colombia;Miguel Nazarit;800;107;Defenza central
1191;21;1,87;derecho;Colombia;Kevin Moreno;800;107;Defenza central
1192;20;1,85;derecho;Colombia;José Caldera;150;107;Defenza central
1193;29;1,75;izquierdo;Colombia;Christian Mafla;990;107;Lateral izquierdo
1194;19;1,6;izquierdo;Colombia;Juan Tello;600;107;Lateral izquierdo
1195;20;1,76;izquierdo;Colombia;Brayan Montaño;700;107;Lateral izquierdo
1196;20;1,6;derecho;Colombia;Juan Franco;600;107;Lateral derecho
1197;23;1,75;derecho;Colombia;Aldair Gutiérrez;100;107;Lateral derecho
1198;22;1,77;derecho;Colombia;Andrés Balanta;200;107;Pivote
1199;29;1,85;derecho;Colombia;Carlos Robles;900;107;Pivote
1200;20;1,79;derecho;Colombia;Edgard Enrique Camargo;250;107;Pivote
1201;28;1,77;derecho;Chile;Sebastián Leyton;300;107;Mediocentro
1202;24;1,76;derecho;Colombia;Yimmi Congo;275;107;Mediocentro
1203;19;1,78;derecho;Colombia;Gian Cabezas;150;107;Mediocentro
1204;25;1,68;izquierdo;Colombia;Kevin Velasco;280;107;Interior izquierdo
