id_jugador;partidos_jugados;partidos_en_alineacion;puntos_por_partido;goles;autogoles;entra_sustituto;sustituido;amarillas;doble_amarilla;rojas;goles_concedidos;porterias_a_cero;minutos_jugados;asistencias;id_estadisticas_jugador
1436;1;1;29;0;0;0;0;1;1;0;0;0;73;4;835
1437;4;4;2;0;0;0;0;4;0;0;0;0;263;4;836
1438;2;1;3;0;0;0;1;0;0;0;0;0;27;4;837
1439;8;6;1;0;0;0;6;0;0;0;0;0;102;4;838
1440;17;17;1;0;0;0;0;15;7;0;0;0;1;4;839
1441;11;3;1;0;0;0;3;0;1;0;0;0;61;4;840
1442;18;15;1;0;1;0;11;3;3;0;0;0;330;4;841
1443;17;17;1;0;0;0;0;1;7;0;0;0;2;4;842
1444;17;17;1;0;0;0;0;1;7;0;0;0;2;4;843
1445;14;13;1;0;0;0;9;4;0;0;0;0;337;4;844
1446;13;12;1;3;1;0;3;8;1;0;0;0;573;4;845
1447;3;1;30;0;0;0;0;1;0;0;0;0;45;4;846
1448;9;9;1;1;2;0;0;0;2;0;1;0;759;4;847
1449;17;17;1;3;2;0;0;13;0;0;0;0;1;4;848
1450;18;25;24;1;0;0;15;8;1;1;18;10;892;3;849
1451;4;3;2;0;0;0;3;0;1;0;0;0;59;4;850
1452;15;15;1;0;0;0;3;9;4;0;0;0;994;4;851
1453;14;12;1;0;0;0;12;0;1;0;0;0;99;4;852
1454;13;13;1;6;2;0;0;5;4;1;0;2;1;4;853
1455;10;9;1;0;0;0;6;3;1;0;0;0;212;4;854
1456;7;4;1;0;0;0;4;0;0;0;0;0;73;4;855
1457;15;1;1;0;0;0;1;0;0;0;1;0;45;4;856
1458;15;15;1;0;0;1;0;4;0;0;16;5;1;4;857
1459;7;4;2;0;0;0;0;1;0;0;2;2;360;4;858
1460;11;6;0;0;0;0;0;1;0;0;0;0;517;4;859
1461;19;19;1;0;0;0;0;0;2;0;0;0;2;4;860
1462;18;12;1;0;0;0;3;0;3;0;0;0;875;4;861
1463;4;4;2;0;0;0;0;1;1;0;0;0;345;4;862
1464;19;11;9;1;2;0;2;1;4;0;19;11;629;0;863
1465;8;8;1;0;0;0;0;0;0;0;0;0;720;4;864
1466;10;10;1;0;0;0;1;1;3;2;1;0;698;4;865
1467;11;9;1;0;0;0;5;0;0;0;1;0;456;4;866
1468;1;1;31;0;0;0;0;0;0;0;0;0;90;4;867
1469;16;16;1;0;4;0;0;1;7;0;0;0;1;4;868
1470;19;6;2;0;0;0;5;1;0;0;0;0;184;4;869
1471;15;15;1;1;0;0;2;7;3;0;0;0;976;4;870
1472;5;4;2;0;0;0;2;2;1;0;0;0;151;4;871
1473;3;2;2;0;0;0;2;0;1;0;0;0;10;4;872
1474;8;8;1;0;0;0;5;1;1;0;0;0;383;4;873
1475;17;17;1;0;0;0;6;7;4;0;0;0;1;4;874
1476;16;16;1;1;0;0;0;9;5;0;0;0;1;4;875
1477;20;64;60;1;3;0;11;18;9;0;20;0;4;1;876
1478;7;6;1;0;0;0;6;0;0;0;0;0;88;4;877
1479;15;15;1;0;6;0;0;4;4;0;1;0;1;4;878
1480;21;78;76;1;6;0;28;29;22;1;21;1;4;7;879
